Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,9/1/12,8/11/12,Effingham County Fair - Board of Directors, Altamont,IL,62411,,,Worker was struck and killed by a payloader that was moving concrete barriers.
FY 2012,9/15/12,8/11/12,Effingtham County Fair, Altamont,IL,62411,,,Worker struck and killed by a payloader used to move concrete barriers.
FY 2012,1/21/12,1/20/12,Petco Petroleum Corporation, Saint Elmo,IL,62458,,,Worker was traveling in a backhoe and was crushed after the backhoe toppled into a ditch.
FY 2012,6/30/12,6/22/12,Village of Central City - Public Works Department, Central City,IL,62801,,,Worker was killed when a burning tree limb fell on his head.
FY 2012,6/30/12,6/26/12,Bombardier Recreational Products, Benton,IL,62812,,,Worker test driving a recreational boat was killed when his boat collided with another.
FY 2012,6/30/12,6/26/12,Jason Inc., Benton,IL,62812,,,"Collision of two Sea-Doo boats being demonstrated by manufacturer, one worker fatality."
FY 2012,7/28/12,7/24/12,Bankston Creek Land Trust, Norris City,IL,62869,,,Four workers welding a swab tank were burned when an explosion occurred.
FY 2012,6/2/12,6/1/12,URS Washington Division, Olmsted,IL,62970,,,Worker at a lock and dam construction site was crushed after falling between two barges he was tying together.
FY 2012,1/28/12,1/10/12,S. Daily Deliveries, Harwood Heights,IL,60706,,,Worker died after falling.
FY 2012,10/8/11,10/5/11,Power Source, Zionsville,IN,46077,,,Worker died after falling 22 feet when an open basket door became caught.
FY 2012,4/28/12,4/26/12,PJE Lawn Care, Greenfield,IN,46163,,,"Landscape worker using a tractor with attached chain to remove a tree stump drowned when the chain failed, causing the tractor to roll into a pond, trapping him underwater."
FY 2012,5/5/12,5/2/12,E&B Paving, Indianapolis,IN,46204,,,Worker operating machines that produce asphalt was killed after being wedged between moving conveyor belts.
FY 2012,5/12/12,5/9/12,Milestone Contractors, Indianapolis,IN,46204,,,Worker was walking in a private homeowner's yard and was struck by a motor vehicle.
FY 2012,9/29/12,9/24/12,Indiana Women's Prison ,Indianapolis,IN,46214,,,"Worker was issued a firearm, went outside, and committed suicide."
FY 2012,9/1/12,8/7/12,SSI Services LLC, Indianapolis,IN,46217,,,Worker inside an asbestos pulverizing unit died from injuries after a combustible dust explosions occurred when equipment malfunctioned.
FY 2012,11/12/11,11/1/11,Indianapolis Logistics LLC, Indianapolis,IN,46219,,,Maintenance worker received fatal injuries in electric pallet jack accident.
FY 2012,7/28/12,7/23/12,Herman and Kittie Properties, Indianapolis,IN,46222,,,Worker was struck by Bobcat bucket while loading tree limbs into a dump truck.
FY 2012,9/1/12,8/27/12,Amerifence Inc., Indianapolis,IN,46226,,,Worker for a fence company sweeping the fence production area was electrocuted.
FY 2012,4/21/12,4/16/12,Walsh Construction, Indianapolis,IN,46241,,,"Worker building a barrier wall was crushed when an excavator backed up, pinning the victim between the machine and a wall."
FY 2012,11/19/11,10/29/11,Arcelor Mittal, Burns Harbor,IN,46304,,,Worker died from burns after a steam pipe erupted.
FY 2012,8/18/12,8/14/12,Clean Harbors Catalyst Technologies LLC, Whiting,IN,46394,,,Three workers inside a vessel were hospitalized for burns when a flash fire occurred.
FY 2012,2/4/12,1/30/12,Gary Railroad, Gary,IN,46402,,,Worker was crushed between two railcars.
FY 2012,2/4/12,1/30/12,Manchester Tank, Elkhart,IN,46514,,,Worker pushing a welding cart died from injuries after slipping and falling backwards.
FY 2012,3/24/12,3/23/12,Kachur Tree Service, South Bend,IN,46637,,,Worker was struck on the head and killed by a falling tree limb that was cut by another worker.
FY 2012,7/28/12,7/25/12,Auburn Tree Services, Garrett,IN,46738,,,Worker operating a boom lift to pull a log from a lake died after he was ejected from the lift's basket when the piston on the lift failed.
FY 2012,7/21/12,7/19/12,Living Waters Lutheran Church ,Fort Wayne,IN,46816,,,Worker was struck and killed by a motor vehicle.
FY 2012,8/11/12,8/6/12,Rowlett Tree Service, Henryville,IN,47126,,,Worker was crushed by a tree that was being cut down.
FY 2012,5/5/12,5/4/12,Walsh Construction, Madison,IN,47250,,,Worker was operating an aerial lift and became wedged between the lift basket and beam.
FY 2012,6/2/12,5/30/12,HG Construction, Bryant,IN,47326,,,Worker on a construction site was crushed when a bobcat construction machine rolled over his torso.
FY 2012,5/12/12,5/11/12,Hoosier A1 Sanitary Sewer Services, New Castle,IN,47362,,,Worker was reeling in a high pressure water hose when the nozzle whipped around and the high pressure water cut the worker's carotid artery.
FY 2012,6/23/12,6/17/12,Brown County Guided Trail Guide, Nashville,IN,47448,,,Worker leading a guided horseback trail ride was struck and killed by a falling tree.
FY 2012,8/4/12,7/30/12,Hillcrest Supply Inc., Montgomery,IN,47558,,,Worker at feed mill loading a feeding truck fell while standing on a 9-inch beam.
FY 2012,8/11/12,2/15/12,Otwell Mercantile, Otwell,IN,47564,,,Worker died from asphyxiation while performing maintenance on a tractor inside a closed garage.
FY 2012,11/19/11,11/12/11,Danco Construction, Evansville,IN,47715,,,Worker died after falling six feet from a scissor lift.
FY 2012,10/8/11,8/12/11,Nicholas Cable Communications, Terre Haute,IN,47801,,,Worker discovered unconscious while using a trencher to install underground TV cable.
FY 2012,11/5/11,11/2/11,Ivy Tech Community College, Lafayette,IN,47903,,,Worker fell while climbing tower.
FY 2012,5/5/12,3/28/12,Commercial Trade Source, Lafayette,IN,47906,,,Worker died after falling five feet from a ladder while installing metal cable above a drop ceiling.
FY 2012,4/14/12,4/11/12,Purdy Concrete Inc., Lafayette,IN,47909,,,"Worker inside a swimming pool pit preparing to fill it with concrete was killed when the cement truck tipped over, and fell on him."
FY 2012,6/2/12,5/30/12,Lowe's Construction, Crawfordsville,IN,47933,,,Worker on a grain bin roof removing a metal sheet was killed after being struck by a crane and falling 35 feet.
FY 2012,6/30/12,6/27/12,Seven Hills Dairy LLC, Goodland,IN,47948,,,Worker at a dairy farm was crushed by a front loader bucket.
FY 2012,11/5/11,10/29/11,Kansas Grain Inspection Services, Atchison,KS,66002,,,Two workers were killed while performing grain inspection services at a grain elevator when an explosion occurred.
FY 2012,2/11/12,2/3/12,Defenbaugh Industries Inc., Shawnee,KS,66203,,,Worker on a trash collection route was run over and killed by the trash truck.
FY 2012,1/21/12,1/20/12,Lamdoil Corporation, Marysville,KS,66508,,,"Worker was lifting a piece of tubing that fell off its cribbing while being hoisted. The tubing rolled, pinning the worker to the concrete floor."
FY 2012,9/15/12,9/11/12,Spirit Aerosystems Inc., Wichita,KS,67210,,,Worker died after falling approximately 12 feet from a work platform to the ground.
FY 2012,7/7/12,6/29/12,Solomon Corporation, Solomon,KS,67480,,,"Worker was crushed by a 9,000-pound electrical transformer."
FY 2012,1/7/12,1/4/12,Leonard Getty, St. John,KS,67576,,,"Worker was operating a skid steer loader and slipped out of the loader, crushing the left side of his chest."
FY 2012,11/26/11,11/20/11,ESE Alcohol Inc., Leoti,KS,67861,,,Worker walking on a catwalk that connects to a fermentation tank died when he fell inside the tank.
FY 2012,4/14/12,4/10/12,Harlan Global Manufacturing, Kansas City,KS,68115,,,Worker installing an axle underneath a tractor was killed when the axle fell on his head.
FY 2012,9/15/12,8/23/12,Whispering Hills Landscaping Inc., Radcliff,KY,40160,,,Worker mowing a hillside was killed when the mower overturned.
FY 2012,12/17/11,12/6/11,Silver Brook Stables, Louisville,KY,40241,,,Worker died after being kicked by a horse.
FY 2012,9/1/12,8/25/12,Jorge Vargas dba Jorge Vargas Martinez, Louisville,KY,40291,,,Worker using a ladder to install brick board died after falling off the ladder.
FY 2012,1/28/12,1/19/12,Poff Carting Services LLC, East Bernstadt,KY,40729,,,Worker was pinned between a trash compactor and a truck.
FY 2012,6/30/12,6/29/12,Bluegrass Materials Company LLC, Baxter,KY,40806,,,Worker at a construction materials company died when the forklift he was operating overturned.
FY 2012,4/28/12,4/27/12,City of Manchester- Public Works Dept., Manchester,KY,40962,,,Worker was killed when part of a trench wall fell on him.
FY 2012,9/29/12,9/26/12,Russell Toll dba Toll Roofing and Repair ,Maysville,KY,41018,,,Worker installing a tarp on a roof of a hotel stepped on the eave which collapsed resulting in worker falling approximately 26 feet on to parking lot.
FY 2012,3/3/12,3/2/12,Stein Inc., Ashland,KY,41101,,,Worker performing machine maintenance was crushed between a conveyor belt and machine frame after an unexpected start-up.
FY 2012,9/8/12,9/2/12,Smithfield Packing, Grayson,KY,41101,,,Worker electrocuted while rewiring a breaker panel for a smoke generator.
FY 2012,8/11/12,8/10/12,Louisa Water and Sewer District, Louisa,KY,41230,,,Worker operating vehicle died when it rolled down an embankment.
FY 2012,3/17/12,2/24/12,Worldwide Technologies GPA, Franklin,KY,42134,,,Worker in a tool manufacturing facility broke his neck when he was pulled into a machine used to rotate and shape metals.
FY 2012,7/7/12,6/26/12,River Parish Disposal, Metairie,LA,70003,,,Worker making repairs underneath a garbage truck was killed when the truck rolled over him.
FY 2012,5/19/12,5/16/12,Total Marine Services, Harvey,LA,70058,,,Worker drowned while recovering a boat.
FY 2012,2/4/12,1/27/12,Henderson Construction, Kenner,LA,70062,,,Worker picking up trash on building roof died after falling more than 20 feet and hitting a trash dumpster.
FY 2012,5/19/12,5/17/12,Airport Road, New Orleans,LA,70113,,,Worker cutting grating on a ladder died from a 9-foot fall when a piece of the grating fell on him.
FY 2012,5/5/12,4/21/12,BAC #2 Investments LLC, New Orleans,LA,70122,,,Worker pressure washing near a wall was killed when the wall collapsed.
FY 2012,1/7/12,1/4/12,Southern Tire Mart, New Orleans,LA,70123,,,Worker was crushed when the forklift he was operating overturned.
FY 2012,12/24/11,11/22/11,Paramount Pictures, New Orleans,LA,70129,,,Worker died of head injuries when he fell out of a scissor lift that tipped over.
FY 2012,5/5/12,5/3/12,Allison Marine Contractors, Amelia,LA,70340,,,Marine contract worker unhooking a pressure vessel from a crane line was killed when the vessel tipped over and fell on him.
FY 2012,3/31/12,3/29/12,Modern American Recycling Services Inc., Gibson,LA,70356,,,Worker cutting a metal platform at a scrap yard died when a partially cut metal piece fell on him.
FY 2012,6/9/12,6/4/12,Oil States Industries, Houma,LA,70363,,,Worker inside a fabrication shop was killed when a wall collapsed on him
FY 2012,5/5/12,4/30/12,North American Shipbuilding, Larose,LA,70373,,,Worker for a shipuilding company died from a possible heart attack after being found unconscious at the bottom of a stairway.
FY 2012,11/19/11,11/9/11,Con-Fab Inc., Morgan City,LA,70380,,,Maintenance worker trying to remove a hose from a forklift was fatally crushed by the forks when the hydraulic pressure was released.
FY 2012,5/5/12,4/16/12,Marcella Juarez Concrete, Mandeville,LA,70448,,,Construction worker was struck and killed by lightning while pouring a concrete slab.
FY 2012,5/19/12,5/17/12,Breaux's Mini-Mart, Lafayette,LA,70501,,,"Worker cutting meat at a market died from severe bleeding when he blacked out, falling onto a saw."
FY 2012,2/4/12,1/26/12,J.B. Mouton Inc., Lafayette,LA,70506,,,Worker demolishing a storage area was crushed between a fallen ceiling and the wall.
FY 2012,12/24/11,12/14/11,Roofing Louisiana General Contractors, Lafayette,LA,70508,,,Worker installing shingles on a roof died when he fell nearly 20 feet to the ground.
FY 2012,5/5/12,5/3/12,Frank's Casing Crew & Rental Tools, Lafayette,LA,70508,,,Worker at a tool company helping to move iron pipes was crushed when one of the pipes rolled over him.
FY 2012,9/22/12,9/24/12,SITI, Rayne,LA,70578,,,Worker was pouring concrete when he was struck and killed by a vehicle being driven by another employee.
FY 2012,9/29/12,9/24/12,SITI, Rayne,LA,70578,,,Worker was pouring concrete when he was struck and killed by a vehicle being driven by another employee.
FY 2012,10/1/11,9/28/11,R & R Construction, Westlake,LA,70669,,,Worker attempting to attach slings from a metal bar to a crane was electrocuted when he touched an energized bus bar.
FY 2012,11/5/11,11/1/11,Shintech Louisiana, Plaquemine,LA,70710,,,Worker was crushed by a 15-ton crane.
FY 2012,8/25/12,8/23/12,Praxair Inc., Geismar,LA,70734,,,Worker at an industrial gas plant died from carbon monoxide exposure.
FY 2012,5/12/12,5/10/12,Savanna Energy Services, Keatchie,LA,71046,,,"Worker on a drilling rig was killed when his equipment was entangled in a mechanical unit, pulling him off the rig."
FY 2012,9/15/12,9/12/12,River Cities Machine LLC, Bossier City,LA,71111,,,"Worker was killed after his shirt became caught in a lathe he was operating, pulling him into the machine."
FY 2012,1/7/12,1/5/12,Dreher Contracting, Bastrop,LA,71220,,,Worker delivering a load of rocks in a Bob truck was crushed between the bed and cab.
FY 2012,4/21/12,4/5/12,Verallia Glass Containers LLC, Simsboro,LA,71275,,,Worker at a glass container warehouse was struck and killed by a forklift while stacking products.
FY 2012,12/3/11,11/28/11,D & J Construction Co., W. Monroe,LA,71292,,,Worker operating an excavator in a sand pit was killed when the machine became engulfed in wet sand.
FY 2012,1/7/12,1/4/12,The Migues Deloach Company, Ft. Polk,LA,71459,,,Worker lifting materials using a boom lift was electrocuted after the boom contacted a live power line.
FY 2012,7/7/12,6/24/12,Grand Isle Shipyard Inc., Abbeville,LO,70510,,,Worker was struck and killed by a forklift after the forklift's brakes failed.
FY 2012,1/21/12,1/11/12,Dmitry Ivanov, West Springfield,MA,1089,,,Worker fell through floor openings from the second floor to the basement.
FY 2012,7/14/12,7/6/12,Brookside Farms Inc., West Townsend,MA,1474,,,"Worker loading a hay trailer was killed when the trailer rolled backwards, crushing him."
FY 2012,11/12/11,11/7/11,Horn Packaging Corporation, Lancaster,MA,1523,,,Worker died after becoming entangled in the unguarded shaft of a gluing machine.
FY 2012,10/1/11,9/26/11,GreenLeaf's Tree Service, Chelmsford,MA,1824,,,Worker performing tree removal activities died after falling 70 feet while climbing from a crane to the tree.
FY 2012,11/26/11,11/19/11,SEI Aaron's, Lynn,MA,1901,,,Worker was struck and killed by an overhead door.
FY 2012,8/4/12,7/11/12,Far East Construction Inc., Cambridge,MA,2139,,,Worker performing construction activities died after falling from a ladder.
FY 2012,12/31/11,12/16/11,Tribe Mediterranean Foods, Taunton,MA,2780,,,Worker cleaning the pump feeder skid machine was pulled into it and crushed between the machine's two augers.
FY 2012,7/14/12,7/1/12,R.G. Lumber Corp., Jackman,MA,4945,,,A worker moving a logging machine died when the machine struck him.
FY 2012,7/14/12,7/2/12,R.G. Lumber Corp., Jackman,MA,4945,,,A worker moving a logging machine died when the machine struck him.
FY 2012,9/29/12,7/19/12,Terrapin Construction Bowie,,MD,20715,,,Worker was trimming a tree limb from an extended tree belonging to a neighbor and fell off ladder. Worker was hospitalized but succumbed to injuries and died on 8/13/2012.
FY 2012,3/31/12,2/8/12,Serra Stone Corp., Bethesda,MD,20816,,,Worker at a stone products manufacturer who was attempting to enter his work vehicle died when he was pinned against a brick wall after the truck rolled.
FY 2012,4/14/12,4/10/12,Potomac Abatement Inc., Silver Spring,MD,20910,,,Worker for an environmental hazards solutions company died after falling 10 stories from a self-lifting scaffold.
FY 2012,8/25/12,8/14/12,Best Blue Inc., Ellicott City,MD,21043,,,"Worker putting up a pump jack scaffold was electrocuted after contacting a 7,600-volt phase line."
FY 2012,3/31/12,2/13/12,Southern Management Corp., Towson,MD,21204,,,"Worker for a management facility who was operating a car lift died when the carriage came out of the track and flipped over, ejecting the worker down a 20 foot shaft."
FY 2012,9/29/12,9/26/12,Recovery Home Improvement,Baltimore,MD,21222,,,Worker was electrocuted when a 27-foot ladder hoist the worker was moving fell backwards and struck two 7.62 kV overheard distribution lines.
FY 2012,4/7/12,4/3/12,ET&T Corp., Rosedale,MD,21237,,,Worker making repairs underneath a trailer was killed when the trailer fell on him.
FY 2012,8/11/12,7/31/12,Gamboa Construction, Hanover,MD,21240,,,Worker installing anchorage points on a roof died after falling to the concrete.
FY 2012,7/14/12,7/2/12,Oakland Timberjax LLC, Oakland,MD,21550,,,Worker cutting down trees after storm damage died after falling more than 50 feet to the ground.
FY 2012,4/14/12,4/10/12,274 East Memorial LLC, Hagerstown,MD,21740,,,Worker on the back of a small vehicle used for hauling trash died from injuries after he was thrown from the vehicle when it made a turn.
FY 2012,7/7/12,7/2/12,Elite Spice Inc., Jessup,MD,21849,,,Worker was crushed in the mast of a forklift.
FY 2012,7/7/12,6/18/12,Cooper Road LLC, Parsonburg,MD,21849,,,Worker died after falling six feet while installing wiring.
FY 2012,10/8/11,9/21/11,Stevens Electric & Pump Service, Kennebunkport,ME,4046,,,Two workers died from overexposure to hydrogen sulfide while inside a sewer tank.
FY 2012,1/21/12,1/16/12,Hawkeye, Scarborough,ME,4074,,,Worker died after falling 50 feet from a utility pole.
FY 2012,1/14/12,1/11/12,Seaway Painting, Detroit,MI,,,,Worker died after falling from the underside of a bridge into a river.
FY 2012,6/2/12,5/20/12,Corrections Corporation of America, Natchez,MI,39120,,,Worker at a correctional facility was killed during a prison riot.
FY 2012,6/30/12,6/14/12,M. G. Dyess Inc., DeKalb,MI,39328,,,Worker was crushed by pipes after the strap holding a load of pipes together broke.
FY 2012,8/25/12,8/21/12,Oakland County Road Commission, Beverly Hills,MI,48025,,,Worker operating a dump truck used for road resurfacing was killed when truck rolled into a ditch.
FY 2012,3/17/12,3/10/12,Survey Solutions Inc., St. Clair Shores,MI,48081,,,Worker inside a roadway work zone was struck and killed by a vehicle.
FY 2012,8/4/12,7/29/12,U.S. Postal Service, Allen Park,MI,48101,,,Worker was found unconscious with a serious head injury.
FY 2012,1/28/12,1/3/12,L & S Plumbing Inc., Ann Arbor,MI,48103,,,Worker fell while drilling a floor joist on a 6-foot step ladder.
FY 2012,12/24/11,12/20/11,Mead Brothers Excavating, Ann Arbor,MI,48104,,,Worker was crushed beneath a hydraulic excavator.
FY 2012,11/19/11,10/24/11,Spartan Steel Coating, Monroe,MI,48162,,,Maintenance worker adjusting a belt wrapper was crushed between the wrapper and machine frame.
FY 2012,1/14/12,1/11/12,U.S. Customs and Border Protection, Trenton,MI,48183,,,Worker committed suicide inside a service vehicle with a service-issued firearm.
FY 2012,12/24/11,11/28/11,Ethical Exteriors, Ann Arbor,MI,48198,,,Worker died after falling nearly 50 feet from a ladder.
FY 2012,7/14/12,6/22/12,Green Mountain Tree Service, Detroit,MI,48223,,,Worker was crushed by a branch that was cut from a large oak tree.
FY 2012,12/17/11,12/9/11,Kraft Foods North America, Farmington Hills,MI,48335,,,Worker's head was crushed between the rear of a trailer and a warehouse door.
FY 2012,6/23/12,6/19/12,Powers Distributing Company, Orion,MI,48359,,,Worker at a brewery warehouse died from injuries when he fell from a trailer onto the cement ground.
FY 2012,3/24/12,3/1/12,Professional Roofing Services Inc., Ortonville,MI,48433,,,Worker performing roofing activities was electrocuted while moving a ladder that touched an overhead power line.
FY 2012,10/8/11,9/29/11,Integral Bldrs LLC, Dewitt,MI,48820,,,"Worker building an addition on a barn was electrocuted after touching a 4,800-volt powerline."
FY 2012,2/11/12,2/8/12,Larry Simon Dairy Farm, Westphalia,MI,48894,,,Worker was run over and killed by a front-end loader.
FY 2012,10/1/11,9/20/11,A-1 Tree and Landscape, Lansing,MI,48911,,,"Worker cutting trees died after a falling branch struck him, causing him to fall 40 feet."
FY 2012,6/23/12,6/22/12,Consumers Energy, Jonesville,MI,49028,,,Worker assessing the damage to downed power lines was struck and killed by a vehicle.
FY 2012,7/14/12,7/12/12,Thomas Logging LLC, Climax Twp,MI,49034,,,Worker was crushed by a tree while cutting timber.
FY 2012,12/17/11,12/13/11,Pulverdryer USA, Springfield,MI,49037,,,Worker was electrocuted after touching a 480-volt plug.
FY 2012,6/9/12,6/5/12,Renewed Earth, Otsego,MI,49078,,,Worker operating a screening machine was killed when he was pulled into the machine.
FY 2012,7/28/12,7/25/12,Next Specialty Resins, Addison,MI,49220,,,Worker at a plastics recycling plant died after falling into an industrial grinding machine.
FY 2012,6/9/12,6/6/12,Nu Pak Solutions Inc., Norton Shores,MI,49441,,,Worker at a styrofoam packaging plant was crushed by a press machine.
FY 2012,11/12/11,11/4/11,Sun Chemical Corporation, Muskegon,MI,49442,,,"Worker was crushed by a 1,500 pound bag of pigment that fell on him."
FY 2012,7/7/12,7/2/12,Black River Builders, Zeeland,MI,49464,,,Worker performing roof repairs died after falling nearly 25 feet through the roof.
FY 2012,6/2/12,2/21/12,Department of Human Services, Grand Rapids,MI,49507,,,A caseworker was shot and killed by a client who was upset about his benefits being denied.
FY 2012,6/23/12,6/18/12,Mill Steel Company, Grand Rapids,MI,49508,,,"Worker moving steel coils was crushed when one of the 8,000-pound coils fell on him."
FY 2012,10/8/11,9/19/11,The Indian Club, Irons,MI,49644,,,Worker suffered burns and died from asphyxiation after a storage facility fire.
FY 2012,7/7/12,7/3/12,Express Tire Service Inc., Kalkaska,MI,49646,,,"Worker was changing a tire on a piece of farm equipment when it exploded, striking and killing worker."
FY 2012,11/19/11,11/16/11,Leelaunau Fruit Co., Suttons Bay,MI,49682,,,Worker was asphyxiated in a brine pit while transferring cherries from a brine pit to truck.
FY 2012,1/28/12,12/15/11,J F Ahern Co., Escanaba,MI,49829,,,Employee was found next to a fire extinguisher the worker was inspecting.
FY 2012,6/2/12,5/30/12,Manistique Papers Inc., Manistique,MI,49854,,,"Worker using powered industrial truck to remove paper rolls was killed when the truck tipped over, crushing the worker."
FY 2012,1/7/12,12/28/11,Volt Workforce Solutions, St. Paul,MN,55107,,,Worker stripping and waxing floors died from a heart attack. There will be no OSHA inspection.
FY 2012,3/31/12,3/19/12,Home Goods, Oakdale,MN,55128,,,"Worker at a retail store, setting up a bag holder, died when a metal piece from the holder struck him in the head."
FY 2012,6/23/12,6/5/12,Veit & Company Inc., Rogers,MN,55374,,,Worker operating a drill rig died from head trauma when he fell from the machine's broken seat.
FY 2012,6/30/12,6/21/12,BPS Inc., Minneapolis,MN,55413,,,Worker at a metal manufacturing facility was killed after being crushed by a pile of steel.
FY 2012,1/28/12,1/20/12,Peine Construction Corp., Edina,MN,55424,,,Worker was struck by a truss and fell.
FY 2012,4/21/12,3/14/12,Premier Precision Group-Sternel, Plymouth,MN,55441,,,Worker performing painting services died from cardiac arrest.
FY 2012,10/1/11,9/27/11,Blooming Prairie Well Co., Blooming Prairie,MN,55917,,,Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.
FY 2012,4/7/12,4/2/12,Rumstick Construction Inc., Rollingstone,MN,55969,,,Worker performing residential construction died after falling 14 feet from a ladder.
FY 2012,9/8/12,9/1/12,CR Koehl and Sons Inc., Hancock,MN,56244,,,Worker died after the semi-tractor/trailer he was driving overturned.
FY 2012,3/10/12,2/27/12,Border Bin Erection LLC, Kerkhoven,MN,56252,,,Worker was struck by grain-bin jack.
FY 2012,10/1/11,2/21/11,Viking Coca Cola Bottling Company, St. Cloud,MN,56303,,,Worker at a soda bottling company was found dead inside a walk-in freezer.
FY 2012,6/2/12,5/28/12,Verso Paper, Sartell,MN,56307,,,"Worker at a paper mill was killed when an air compressor inside the building exploded, causing a fire."
FY 2012,5/19/12,5/17/12,ACME Tools and Rentals, Bemidji,MN,56601,,,Worker inside an elevated lift bucket was electrocuted when the lift touched an energized wire.
FY 2012,8/25/12,8/21/12,White Brothers Logging, Cass Lake,MN,56633,,,Worker was struck and killed by tree pines that slipped out of boom truck.
FY 2012,3/10/12,3/7/12,Sieveking Inc., Hazelwood,MO,63042,,,Worker using a portable ladder to hook a hose to a fuel tank truck died after falling 10 feet off the ladder to pavement.
FY 2012,1/7/12,12/20/11,Ameren UE, Labadie,MO,63055,,,Worker died after falling 80 feet from a scaffold.
FY 2012,1/14/12,1/10/12,Butler Merchandising Solutions, St. Louis,MO,63106,,,Worker was crushed by the Brause clam shell press machine he was operating.
FY 2012,6/23/12,6/18/12,Kaiser Electric, St. Louis,MO,63110,,,Worker climbing a ladder to access a roof died after falling more than 20 feet.
FY 2012,7/14/12,7/11/12,L & C Exteriors, Overland,MO,63114,,,Worker pulling a roller on a flat roof died after falling through a skylight.
FY 2012,5/12/12,5/7/12,Schoeder & Tremayne, St. Louis,MO,63123,,,"Warehouse worker operating a forklift died when the metal plate that bridges the gap between the loading dock and truck gave way, causing him to fall 6 feet off the dock."
FY 2012,5/12/12,5/9/12,Contractors Roofing & Supply Co., Lake Sherwood,MO,63357,,,Worker was electrocuted when the boom of the roofing supply truck contacted power lines hidden within tree branches.
FY 2012,6/2/12,5/25/12,Tri-State Timber LLC, New Cambria,MO,63558,,,Worker cutting down trees died when a tree fell on him.
FY 2012,7/7/12,7/2/12,Chester Bross Construction Co. Inc., Bloomsdale,MO,63627,,,Worker was doing highway construction and was struck and killed by a dump truck.
FY 2012,5/12/12,5/7/12,Penzel Construction Co., Jackson,MO,63755,,,Worker assembling a crawler crane at a construction site was killed when his head was crushed between the crane's uncarriage and support pads.
FY 2012,6/2/12,5/29/12,Jim's Disposal Service LLC, Kansas City,MO,64118,,,Worker riding on the back of a trash truck was killed when he fell off and was run over by the truck.
FY 2012,5/19/12,5/16/12,Missouri American Water, Joplin,MO,64804,,,"Worker cutting pipe with a pipe saw died when the saw kicked back, striking the worker in the throat."
FY 2012,6/9/12,6/6/12,McAlester Army Ammunition Plant, Fort Leonard Wood,MO,65473,,,Railroad maintenance worker died after being struck by a rolling rail car.
FY 2012,11/12/11,11/6/11,Midwest Coatings, Branson,MO,65616,,,Worker applying fire retardant material to steel beams of an apartment complex died after falling from the elevated platform.
FY 2012,11/5/11,11/3/11,Paul Mueller Company, Springfield,MO,65802,,,Worker serving as a spotter was crushed between a truck and tractor trailer.
FY 2012,11/26/11,11/16/11,Producers Gin of Belen, Marks,MS,38646,,,Worker operating a cotton press was killed when she was hit by parts of the machine after it blew up.
FY 2012,7/21/12,7/19/12,Tombigee Electric Power Association, Fulton,MS,38843,,,Worker cutting down trees was struck and killed by a falling tree.
FY 2012,3/3/12,2/23/12,Best Foam, Sherman,MS,38869,,,Worker operating a compactor machine used to pack together cut farm crops died after being caught inside the machine.
FY 2012,1/28/12,1/19/12,Live Oaks Planting Company LLC, Itta Bena,MS,38941,,,"Employee was working in a 60,000 bushel grain silo when the worker sank and was engulfed in 20,000 bushels of soybean."
FY 2012,4/28/12,4/10/12,Parker Logging, Brandon,MS,39042,,,Worker cutting down trees was struck and killed by a falling tree.
FY 2012,7/21/12,7/13/12,Dean Construction, Canton,MS,39288,,,Worker installing skylights died after falling 20 feet onto concrete floor.
FY 2012,1/21/12,12/12/11,Oilfield Service & Supply Company Inc., Laurel,MS,39443,,,"Worker was removing a ladder stuck in mud and briars. The ladder flew up and hit the worker on the back, fatally injuring the worker."
FY 2012,7/7/12,7/2/12,Tri-State Pole & Piping Inc., Lucedale,MS,39452,,,Teenage worker helping to stack a bundle of poles was killed when one pole struck his head.
FY 2012,1/7/12,1/4/12,MDR Construction, Moselle,MS,39459,,,Worker was electrocuted while performing overhead powerline construction.
FY 2012,9/15/12,9/9/12,Southern Hens Inc., Moselle,MS,39459,,,Employee cleaning the processing area in a poultry plant died after falling into a screw conveyor.
FY 2012,4/14/12,4/6/12,Looks Great Services of MS Inc., Sumrall,MS,39482,,,Worker was performing tree trimming and was struck by a falling tree.
FY 2012,4/14/12,4/2/12,Progressive Products and Service, Gulfport,MS,39505,,,Worker making repairs to a boat died after falling 12 feet from the boat's deck.
FY 2012,4/14/12,4/9/12,Omega Protein, Moss Point,MS,39562,,,Worker at a seafood plant was killed when he was caught in a conveyor used to move liquids and grain materials.
FY 2012,2/4/12,1/30/12,V T Halter Marine Inc., Pascagoula,MS,39581,,,Worker preparing to refill a sand blast pot was killed when the pressurized vessel exploded after he lifted the lid.
FY 2012,6/2/12,6/1/12,Mississippi Phosphates Corp., Pascagoula,MS,39581,,,Worker died from burns after a pipe from the steam system he was checking exploded.
FY 2012,8/4/12,5/21/12,Mississippi Phosphate Corp., Pascagoula,MS,39581,,,Worker performing equipment maintenance at a phosphate fertilizer plant died during a steam explosion.
FY 2012,1/14/12,12/20/11,Bowllin Logging, Brookhaven,MS,39601,,,Worker was struck and killed by a tree he was cutting down.
FY 2012,6/30/12,6/26/12,Lane Line LLC, Brookhaven,MS,39601,,,Worker performing measurements inside a workzone was struck and killed by a company truck.
